timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 07:55:55.430, [N/A], [N/A], 237 MiB, 81920 MiB, 94.91 W
2026/08/03 07:55:55.464, [N/A], [N/A], 203 MiB, 81920 MiB, 92.64 W
2026/08/03 07:55:55.467, [N/A], [N/A], 203 MiB, 81920 MiB, 90.83 W
2026/08/03 07:55:55.471, [N/A], [N/A], 203 MiB, 81920 MiB, 94.43 W
2026/08/03 07:55:55.473, 92 %, 68 %, 8817 MiB, 81920 MiB, 318.74 W
2026/08/03 07:56:25.474, [N/A], [N/A], 237 MiB, 81920 MiB, 94.03 W
2026/08/03 07:56:25.508, [N/A], [N/A], 237 MiB, 81920 MiB, 94.74 W
2026/08/03 07:56:25.525, [N/A], [N/A], 203 MiB, 81920 MiB, 92.25 W
2026/08/03 07:56:25.527, [N/A], [N/A], 203 MiB, 81920 MiB, 90.43 W
2026/08/03 07:56:25.531, [N/A], [N/A], 203 MiB, 81920 MiB, 93.85 W
2026/08/03 07:56:25.533, 100 %, 91 %, 8817 MiB, 81920 MiB, 176.25 W
2026/08/03 07:56:55.534, [N/A], [N/A], 237 MiB, 81920 MiB, 95.07 W
2026/08/03 07:56:55.567, [N/A], [N/A], 237 MiB, 81920 MiB, 95.81 W
2026/08/03 07:56:55.587, [N/A], [N/A], 203 MiB, 81920 MiB, 91.95 W
2026/08/03 07:56:55.589, [N/A], [N/A], 203 MiB, 81920 MiB, 90.23 W
2026/08/03 07:56:55.593, [N/A], [N/A], 203 MiB, 81920 MiB, 93.27 W
2026/08/03 07:56:55.595, 93 %, 74 %, 8817 MiB, 81920 MiB, 319.71 W
2026/08/03 07:57:25.596, [N/A], [N/A], 237 MiB, 81920 MiB, 93.67 W
2026/08/03 07:57:25.630, [N/A], [N/A], 237 MiB, 81920 MiB, 94.35 W
2026/08/03 07:57:25.635, [N/A], [N/A], 203 MiB, 81920 MiB, 91.77 W
2026/08/03 07:57:25.637, [N/A], [N/A], 203 MiB, 81920 MiB, 90.13 W
2026/08/03 07:57:25.639, [N/A], [N/A], 203 MiB, 81920 MiB, 93.33 W
2026/08/03 07:57:25.641, 100 %, 91 %, 8817 MiB, 81920 MiB, 192.10 W
2026/08/03 07:57:55.642, [N/A], [N/A], 237 MiB, 81920 MiB, 93.52 W
2026/08/03 07:57:55.675, [N/A], [N/A], 237 MiB, 81920 MiB, 94.56 W
2026/08/03 07:57:55.677, [N/A], [N/A], 203 MiB, 81920 MiB, 91.67 W
2026/08/03 07:57:55.696, [N/A], [N/A], 203 MiB, 81920 MiB, 90.04 W
2026/08/03 07:57:55.698, [N/A], [N/A], 203 MiB, 81920 MiB, 92.96 W
2026/08/03 07:57:55.700, 93 %, 74 %, 8817 MiB, 81920 MiB, 284.98 W
