timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/08/03 11:03:27.814, 94 %, 84 %, 15821 MiB, 81920 MiB, 298.98 W
2026/08/03 11:03:57.815, [N/A], [N/A], 237 MiB, 81920 MiB, 96.23 W
2026/08/03 11:03:57.857, [N/A], [N/A], 237 MiB, 81920 MiB, 93.61 W
2026/08/03 11:03:57.859, [N/A], [N/A], 203 MiB, 81920 MiB, 90.70 W
2026/08/03 11:03:57.862, [N/A], [N/A], 203 MiB, 81920 MiB, 92.56 W
2026/08/03 11:03:57.864, [N/A], [N/A], 203 MiB, 81920 MiB, 92.04 W
2026/08/03 11:03:57.867, 84 %, 59 %, 15821 MiB, 81920 MiB, 305.06 W
2026/08/03 11:04:27.868, [N/A], [N/A], 237 MiB, 81920 MiB, 95.00 W
2026/08/03 11:04:27.902, [N/A], [N/A], 237 MiB, 81920 MiB, 93.65 W
2026/08/03 11:04:27.925, [N/A], [N/A], 203 MiB, 81920 MiB, 90.57 W
2026/08/03 11:04:27.927, [N/A], [N/A], 203 MiB, 81920 MiB, 92.80 W
2026/08/03 11:04:27.930, [N/A], [N/A], 203 MiB, 81920 MiB, 92.02 W
2026/08/03 11:04:27.933, 94 %, 84 %, 15821 MiB, 81920 MiB, 269.70 W
2026/08/03 11:04:57.934, [N/A], [N/A], 237 MiB, 81920 MiB, 96.27 W
2026/08/03 11:04:57.968, [N/A], [N/A], 237 MiB, 81920 MiB, 93.57 W
2026/08/03 11:04:57.993, [N/A], [N/A], 203 MiB, 81920 MiB, 90.67 W
2026/08/03 11:04:57.995, [N/A], [N/A], 203 MiB, 81920 MiB, 92.70 W
2026/08/03 11:04:57.999, [N/A], [N/A], 203 MiB, 81920 MiB, 92.00 W
2026/08/03 11:04:58.001, 89 %, 76 %, 15821 MiB, 81920 MiB, 295.21 W
2026/08/03 11:05:28.002, [N/A], [N/A], 237 MiB, 81920 MiB, 95.97 W
2026/08/03 11:05:28.037, [N/A], [N/A], 237 MiB, 81920 MiB, 93.57 W
2026/08/03 11:05:28.069, [N/A], [N/A], 203 MiB, 81920 MiB, 90.57 W
2026/08/03 11:05:28.071, [N/A], [N/A], 203 MiB, 81920 MiB, 92.50 W
2026/08/03 11:05:28.075, [N/A], [N/A], 203 MiB, 81920 MiB, 92.16 W
2026/08/03 11:05:28.077, 94 %, 84 %, 15821 MiB, 81920 MiB, 297.73 W
2026/08/03 11:05:58.078, [N/A], [N/A], 237 MiB, 81920 MiB, 96.15 W
2026/08/03 11:05:58.111, [N/A], [N/A], 237 MiB, 81920 MiB, 93.67 W
2026/08/03 11:05:58.130, [N/A], [N/A], 203 MiB, 81920 MiB, 90.47 W
2026/08/03 11:05:58.132, [N/A], [N/A], 203 MiB, 81920 MiB, 92.50 W
2026/08/03 11:05:58.136, [N/A], [N/A], 203 MiB, 81920 MiB, 92.36 W
2026/08/03 11:05:58.138, 89 %, 77 %, 15821 MiB, 81920 MiB, 243.65 W
2026/08/03 11:06:28.138, [N/A], [N/A], 237 MiB, 81920 MiB, 95.24 W
2026/08/03 11:06:28.173, [N/A], [N/A], 237 MiB, 81920 MiB, 93.83 W
2026/08/03 11:06:28.192, [N/A], [N/A], 203 MiB, 81920 MiB, 90.49 W
2026/08/03 11:06:28.196, [N/A], [N/A], 203 MiB, 81920 MiB, 92.81 W
2026/08/03 11:06:28.198, [N/A], [N/A], 203 MiB, 81920 MiB, 91.97 W
2026/08/03 11:06:28.200, 81 %, 64 %, 15821 MiB, 81920 MiB, 285.93 W
2026/08/03 11:06:58.201, [N/A], [N/A], 237 MiB, 81920 MiB, 96.14 W
2026/08/03 11:06:58.235, [N/A], [N/A], 237 MiB, 81920 MiB, 93.48 W
2026/08/03 11:06:58.253, [N/A], [N/A], 203 MiB, 81920 MiB, 90.57 W
2026/08/03 11:06:58.255, [N/A], [N/A], 203 MiB, 81920 MiB, 92.60 W
2026/08/03 11:06:58.257, [N/A], [N/A], 203 MiB, 81920 MiB, 91.97 W
2026/08/03 11:06:58.261, 94 %, 84 %, 15821 MiB, 81920 MiB, 295.48 W
2026/08/03 11:07:28.262, [N/A], [N/A], 237 MiB, 81920 MiB, 96.25 W
2026/08/03 11:07:28.296, [N/A], [N/A], 237 MiB, 81920 MiB, 93.57 W
2026/08/03 11:07:28.315, [N/A], [N/A], 203 MiB, 81920 MiB, 90.57 W
2026/08/03 11:07:28.317, [N/A], [N/A], 203 MiB, 81920 MiB, 92.60 W
2026/08/03 11:07:28.319, [N/A], [N/A], 203 MiB, 81920 MiB, 91.78 W
2026/08/03 11:07:28.321, 64 %, 58 %, 15821 MiB, 81920 MiB, 305.51 W
2026/08/03 11:07:58.322, [N/A], [N/A], 237 MiB, 81920 MiB, 96.08 W
2026/08/03 11:07:58.356, [N/A], [N/A], 237 MiB, 81920 MiB, 93.77 W
2026/08/03 11:07:58.364, [N/A], [N/A], 203 MiB, 81920 MiB, 90.47 W
2026/08/03 11:07:58.367, [N/A], [N/A], 203 MiB, 81920 MiB, 92.60 W
2026/08/03 11:07:58.369, [N/A], [N/A], 203 MiB, 81920 MiB, 92.26 W
2026/08/03 11:07:58.371, 94 %, 84 %, 15821 MiB, 81920 MiB, 291.57 W
2026/08/03 11:08:28.372, [N/A], [N/A], 237 MiB, 81920 MiB, 96.25 W
2026/08/03 11:08:28.405, [N/A], [N/A], 237 MiB, 81920 MiB, 93.63 W
2026/08/03 11:08:28.424, [N/A], [N/A], 203 MiB, 81920 MiB, 90.62 W
2026/08/03 11:08:28.426, [N/A], [N/A], 203 MiB, 81920 MiB, 92.51 W
2026/08/03 11:08:28.428, [N/A], [N/A], 203 MiB, 81920 MiB, 92.20 W
2026/08/03 11:08:28.430, 87 %, 68 %, 15821 MiB, 81920 MiB, 297.81 W
2026/08/03 11:08:58.431, [N/A], [N/A], 237 MiB, 81920 MiB, 96.37 W
2026/08/03 11:08:58.465, [N/A], [N/A], 237 MiB, 81920 MiB, 93.77 W
2026/08/03 11:08:58.474, [N/A], [N/A], 203 MiB, 81920 MiB, 90.56 W
2026/08/03 11:08:58.476, [N/A], [N/A], 203 MiB, 81920 MiB, 92.70 W
2026/08/03 11:08:58.478, [N/A], [N/A], 203 MiB, 81920 MiB, 92.19 W
2026/08/03 11:08:58.480, 94 %, 84 %, 15821 MiB, 81920 MiB, 299.86 W
2026/08/03 11:09:28.481, [N/A], [N/A], 237 MiB, 81920 MiB, 96.28 W
2026/08/03 11:09:28.515, [N/A], [N/A], 237 MiB, 81920 MiB, 93.64 W
2026/08/03 11:09:28.533, [N/A], [N/A], 203 MiB, 81920 MiB, 90.57 W
2026/08/03 11:09:28.535, [N/A], [N/A], 203 MiB, 81920 MiB, 92.54 W
2026/08/03 11:09:28.537, [N/A], [N/A], 203 MiB, 81920 MiB, 92.15 W
2026/08/03 11:09:28.539, 100 %, 96 %, 15821 MiB, 81920 MiB, 307.07 W
2026/08/03 11:09:58.540, [N/A], [N/A], 237 MiB, 81920 MiB, 96.07 W
2026/08/03 11:09:58.574, [N/A], [N/A], 237 MiB, 81920 MiB, 93.54 W
2026/08/03 11:09:58.592, [N/A], [N/A], 203 MiB, 81920 MiB, 90.47 W
2026/08/03 11:09:58.594, [N/A], [N/A], 203 MiB, 81920 MiB, 92.70 W
2026/08/03 11:09:58.597, [N/A], [N/A], 203 MiB, 81920 MiB, 92.65 W
2026/08/03 11:09:58.599, 94 %, 84 %, 15821 MiB, 81920 MiB, 301.22 W
2026/08/03 11:10:28.600, [N/A], [N/A], 237 MiB, 81920 MiB, 96.34 W
2026/08/03 11:10:28.634, [N/A], [N/A], 237 MiB, 81920 MiB, 93.57 W
2026/08/03 11:10:28.651, [N/A], [N/A], 203 MiB, 81920 MiB, 90.56 W
2026/08/03 11:10:28.653, [N/A], [N/A], 203 MiB, 81920 MiB, 92.61 W
2026/08/03 11:10:28.656, [N/A], [N/A], 203 MiB, 81920 MiB, 92.00 W
2026/08/03 11:10:28.658, 89 %, 76 %, 15821 MiB, 81920 MiB, 295.18 W
2026/08/03 11:10:58.659, [N/A], [N/A], 237 MiB, 81920 MiB, 96.05 W
2026/08/03 11:10:58.695, [N/A], [N/A], 237 MiB, 81920 MiB, 93.67 W
2026/08/03 11:10:58.715, [N/A], [N/A], 203 MiB, 81920 MiB, 90.60 W
2026/08/03 11:10:58.717, [N/A], [N/A], 203 MiB, 81920 MiB, 92.61 W
2026/08/03 11:10:58.719, [N/A], [N/A], 203 MiB, 81920 MiB, 92.07 W
2026/08/03 11:10:58.721, 94 %, 84 %, 15821 MiB, 81920 MiB, 297.16 W
2026/08/03 11:11:28.722, [N/A], [N/A], 237 MiB, 81920 MiB, 96.24 W
2026/08/03 11:11:28.756, [N/A], [N/A], 237 MiB, 81920 MiB, 93.67 W
2026/08/03 11:11:28.773, [N/A], [N/A], 203 MiB, 81920 MiB, 90.57 W
2026/08/03 11:11:28.775, [N/A], [N/A], 203 MiB, 81920 MiB, 92.60 W
